inst_name,state_abbr,city,county_name,enrollment_men,enrollment_women,enrollment_total,ath_classification_code
Navarro College,TX,Corsicana,Navarro County,986.0,1355.0,2341.0,12.0
Lone Star College System,TX,The Woodlands,Montgomery County,,,,
University of North Texas,TX,Denton,Denton County,11516.0,13925.0,25441.0,1.0
Northeast Texas Community College,TX,Mount Pleasant,Titus County,386.0,744.0,1130.0,12.0
Oblate School of Theology,TX,San Antonio,Bexar County,,,,
Ocean Corporation,TX,Houston,Harris County,,,,
Odessa College,TX,Odessa,Ector County,847.0,1418.0,2265.0,12.0
Ogle School Hair Skin Nails-Arlington,TX,Arlington,Tarrant County,,,,
Ogle School Hair Skin Nails-Ft Worth,TX,Fort Worth,Tarrant County,,,,
Our Lady of the Lake University,TX,San Antonio,Bexar County,353.0,724.0,1077.0,9.0
The University of Texas Rio Grande Valley,TX,Edinburg,Hidalgo County,7723.0,11907.0,19630.0,3.0
Texas Southmost College,TX,Brownsville,Cameron County,,,,
Panola College,TX,Carthage,Panola County,311.0,568.0,879.0,12.0
Paris Junior College,TX,Paris,Lamar County,540.0,802.0,1342.0,12.0
Paul Quinn College,TX,Dallas,Dallas County,142.0,187.0,329.0,9.0
Prairie View A & M University,TX,Prairie View,Waller County,2395.0,5183.0,7578.0,2.0
Ranger College,TX,Ranger,Eastland County,362.0,376.0,738.0,12.0
Aviation Institute of Maintenance-Houston,TX,Houston,Harris County,,,,
Rice University,TX,Houston,Harris County,2143.0,2007.0,4150.0,1.0
Saint Edward's University,TX,Austin,Travis County,1000.0,1670.0,2670.0,5.0
St Philip's College,TX,San Antonio,Bexar County,,,,
University of St Thomas,TX,Houston,Harris County,777.0,1433.0,2210.0,7.0
Sam Houston State University,TX,Huntsville,Walker County,5204.0,9148.0,14352.0,2.0
San Antonio College,TX,San Antonio,Bexar County,,,,
San Jacinto Community College,TX,Pasadena,Harris County,3030.0,3967.0,6997.0,12.0
Schreiner University,TX,Kerrville,Kerr County,426.0,480.0,906.0,7.0
Seguin Beauty School-Seguin,TX,Seguin,Guadalupe County,,,,
St. Mary's University,TX,San Antonio,Bexar County,817.0,1189.0,2006.0,5.0
South Plains College,TX,Levelland,Hockley County,1717.0,2129.0,3846.0,12.0
South Texas Barber College Inc,TX,Corpus Christi,Nueces County,,,,
South Texas College of Law Houston,TX,Houston,Harris County,,,,
South Texas Vocational Technical Institute-Weslaco,TX,Weslaco,Hidalgo County,,,,
Miller-Motte College-STVT-McAllen,TX,McAllen,Hidalgo County,,,,
Southern Methodist University,TX,Dallas,Dallas County,3400.0,3327.0,6727.0,1.0
Southwest School of Business and Technical Careers-San Antonio,TX,San Antonio,Bexar County,,,,
Southwest Texas Junior College,TX,Uvalde,Uvalde County,414.0,622.0,1036.0,8.0
Southwestern Assemblies of God University,TX,Waxahachie,Ellis County,626.0,643.0,1269.0,9.0
Southwestern University,TX,Georgetown,Williamson County,684.0,795.0,1479.0,6.0
Stephen F Austin State University,TX,Nacogdoches,Nacogdoches County,3021.0,5295.0,8316.0,2.0
Texas State University,TX,San Marcos,Hays County,10421.0,16106.0,26527.0,1.0
Southwestern Adventist University,TX,Keene,Johnson County,236.0,369.0,605.0,16.0
Southwestern Christian College,TX,Terrell,Kaufman County,50.0,31.0,81.0,12.0
Sul Ross State University,TX,Alpine,Brewster County,470.0,514.0,984.0,6.0
Tarleton State University,TX,Stephenville,Erath County,3058.0,5509.0,8567.0,2.0
Tarrant County College District,TX,Fort Worth,Tarrant County,,,,
Temple College,TX,Temple,Bell County,395.0,856.0,1251.0,12.0
University of Texas Southwestern Medical Center,TX,Dallas,Dallas County,,,,
The University of Texas Health Science Center at San Antonio,TX,San Antonio,Bexar County,,,,
The University of Texas Medical Branch at Galveston,TX,Galveston,Galveston County,,,,
Texarkana College,TX,Texarkana,Bowie County,,,,
Texas A & M University-Kingsville,TX,Kingsville,Kleberg County,2031.0,1966.0,3997.0,4.0
Texas A & M University-College Station,TX,College Station,Brazos County,26053.0,24056.0,50109.0,1.0
Texas A & M University-System Office,TX,College Station,Brazos County,,,,
The University of Texas at Arlington,TX,Arlington,Tarrant County,8283.0,10706.0,18989.0,3.0
The University of Texas at Austin,TX,Austin,Travis County,16305.0,21757.0,38062.0,1.0
The University of Texas at Dallas,TX,Richardson,Dallas County,10066.0,7902.0,17968.0,7.0
The University of Texas at El Paso,TX,El Paso,El Paso County,5892.0,7393.0,13285.0,1.0
The University of Texas at Tyler,TX,Tyler,Smith County,1897.0,2832.0,4729.0,5.0
Texas Chiropractic College Foundation Inc,TX,Pasadena,Harris County,,,,
Texas Christian University,TX,Fort Worth,Tarrant County,3956.0,6063.0,10019.0,1.0
Texas College,TX,Tyler,Smith County,400.0,271.0,671.0,9.0
University of North Texas Health Science Center,TX,Fort Worth,Tarrant County,,,,
Texas Lutheran University,TX,Seguin,Guadalupe County,612.0,738.0,1350.0,6.0
The University of Texas Permian Basin,TX,Odessa,Ector County,979.0,1288.0,2267.0,19.0
The University of Texas at San Antonio,TX,San Antonio,Bexar County,10184.0,11769.0,21953.0,1.0
Texas Southern University,TX,Houston,Harris County,1733.0,3144.0,4877.0,2.0
The University of Texas System Office,TX,Austin,Travis County,,,,
Texas Tech University,TX,Lubbock,Lubbock County,14723.0,14304.0,29027.0,1.0
Texas Wesleyan University,TX,Fort Worth,Tarrant County,615.0,684.0,1299.0,9.0
Texas Woman's University,TX,Denton,Denton County,558.0,5988.0,6546.0,5.0
Trinity University,TX,San Antonio,Bexar County,1170.0,1301.0,2471.0,6.0
The University of Texas Health Science Center at Houston,TX,Houston,Harris County,,,,
Texas Tech University Health Sciences Center,TX,Lubbock,Lubbock County,,,,
Tyler Junior College,TX,Tyler,Smith County,2030.0,3085.0,5115.0,12.0
University of Houston-System Administration,TX,Houston,Harris County,,,,
Universal Technical Institute of Texas Inc.,TX,Houston,Harris County,,,,
UCAS University of Cosmetology Arts & Sciences-McAllen,TX,McAllen,Hidalgo County,,,,
Vernon College,TX,Vernon,Wilbarger County,240.0,381.0,621.0,12.0
Victoria Beauty College Inc,TX,Victoria,Victoria County,,,,
Victoria College,TX,Victoria,Victoria County,305.0,399.0,704.0,12.0
Vogue College of Cosmetology-McAllen,TX,McAllen,Hidalgo County,,,,
Wayland Baptist University,TX,Plainview,Hale County,675.0,709.0,1384.0,9.0
Weatherford College,TX,Weatherford,Parker County,532.0,896.0,1428.0,12.0
West Texas A & M University,TX,Canyon,Randall County,2155.0,3177.0,5332.0,4.0
Western Texas College,TX,Snyder,Scurry County,171.0,166.0,337.0,12.0
Wharton County Junior College,TX,Wharton,Wharton County,1057.0,1224.0,2281.0,12.0
Wiley College,TX,Marshall,Harrison County,277.0,307.0,584.0,9.0
Bridgerland Technical College,UT,Logan,Cache County,,,,
Brigham Young University,UT,Provo,Utah County,13739.0,14543.0,28282.0,1.0
Brigham Young University-Hawaii,HI,Laie,Honolulu County,,,,
Broadview College,UT,West Jordan,Salt Lake County,,,,
Cameo College of Essential Beauty,UT,Murray,Salt Lake County,,,,
Collectiv Academy,UT,Sandy,Salt Lake County,,,,
Davis Technical College,UT,Kaysville,Davis County,,,,
Dixie State University,UT,Saint George,Washington County,2783.0,4180.0,6963.0,2.0
Evans Hairstyling College-Cedar City,UT,Cedar City,Iron County,,,,
Evans Hairstyling College-St George,UT,Saint George,Washington County,,,,
Paul Mitchell the School-Salt Lake City,UT,Holladay,Salt Lake County,,,,
Eagle Gate College-Murray,UT,Murray,Salt Lake County,,,,
Ensign College,UT,Salt Lake City,Salt Lake County,,,,
Ogden-Weber Technical College,UT,Ogden,Weber County,,,,
Snow College,UT,Ephraim,Sanpete County,1545.0,1647.0,3192.0,12.0
Southern Utah University,UT,Cedar City,Iron County,3397.0,4664.0,8061.0,2.0
Stevens-Henager College,UT,West Haven,Weber County,,,,
Uintah Basin Technical College,UT,Roosevelt,Uintah County,,,,
Utah State University,UT,Logan,Cache County,7502.0,8821.0,16323.0,1.0
Utah Valley University,UT,Orem,Utah County,9009.0,8304.0,17313.0,3.0
Salt Lake Community College,UT,Salt Lake City,Salt Lake County,2596.0,2977.0,5573.0,12.0
University of Utah,UT,Salt Lake City,Salt Lake County,10490.0,9804.0,20294.0,1.0
Weber State University,UT,Ogden,Weber County,4452.0,5832.0,10284.0,2.0
Westminster College,UT,Salt Lake City,Salt Lake County,397.0,723.0,1120.0,5.0
Bennington College,VT,Bennington,Bennington County,,,,
Castleton University,VT,Castleton,Rutland County,678.0,760.0,1438.0,6.0
Champlain College,VT,Burlington,Chittenden County,,,,
Community College of Vermont,VT,Montpelier,Washington County,,,,
Goddard College,VT,Plainfield,Washington County,,,,
Northern Vermont University,VT,Johnson,Lamoille County,413.0,511.0,924.0,7.0
Middlebury College,VT,Middlebury,Addison County,1316.0,1507.0,2823.0,6.0
New England Culinary Institute,VT,Montpelier,Washington County,,,,
Norwich University,VT,Northfield,Washington County,1694.0,691.0,2385.0,6.0
O'Briens Aveda Institute,VT,Williston,Chittenden County,,,,
Saint Michael's College,VT,Colchester,Chittenden County,649.0,746.0,1395.0,5.0
SIT Graduate Institute,VT,Brattleboro,Windham County,,,,
Sterling College,VT,Craftsbury Common,Orleans County,,,,
Vermont Law School,VT,South Royalton,Windsor County,,,,
Vermont State Colleges-Office of the Chancellor,VT,Montpelier,Washington County,,,,
Vermont Technical College,VT,Randolph,Orange County,389.0,332.0,721.0,20.0
University of Vermont,VT,Burlington,Chittenden County,4033.0,6746.0,10779.0,3.0
Paul Mitchell the School-Roanoke,VA,Roanoke,Roanoke City,,,,
Advanced Technology Institute,VA,Virginia Beach,Virginia Beach City,,,,
Averett University,VA,Danville,Danville City,530.0,447.0,977.0,6.0
Blue Ridge Community College,VA,Weyers Cave,Augusta County,,,,
Bluefield University,VA,Bluefield,Tazewell County,312.0,271.0,583.0,9.0
Bridgewater College,VA,Bridgewater,Rockingham County,653.0,762.0,1415.0,6.0
William & Mary,VA,Williamsburg,Williamsburg City,2680.0,3777.0,6457.0,2.0
Regent University,VA,Virginia Beach,Virginia Beach City,905.0,1402.0,2307.0,15.0
Central School of Practical Nursing,VA,Norfolk,Norfolk City,,,,
Central Virginia Community College,VA,Lynchburg,Lynchburg City,,,,
Christopher Newport University,VA,Newport News,Newport News City,1985.0,2402.0,4387.0,6.0
Allegiance Beauty School,VA,Norfolk,Norfolk City,,,,
Bryant & Stratton College-Virginia Beach,VA,Virginia Beach,Virginia Beach City,181.0,554.0,735.0,13.0
Dabney S Lancaster Community College,VA,Clifton Forge,Alleghany County,114.0,178.0,292.0,14.0
Danville Community College,VA,Danville,Danville City,,,,
Eastern Virginia Medical School,VA,Norfolk,Norfolk City,,,,
Centura College-Virginia Beach,VA,Virginia Beach,Virginia Beach City,,,,
Emory & Henry College,VA,Emory,Washington County,518.0,530.0,1048.0,5.0
Eastern Mennonite University,VA,Harrisonburg,Harrisonburg City,338.0,485.0,823.0,7.0
Eastern Shore Community College,VA,Melfa,Accomack County,,,,
Ferrum College,VA,Ferrum,Franklin County,506.0,336.0,842.0,6.0
George Mason University,VA,Fairfax,Fairfax County,10451.0,10565.0,21016.0,3.0
Germanna Community College,VA,Locust Grove,Orange County,,,,
Hampden-Sydney College,VA,Hampden-Sydney,Prince Edward County,838.0,4.0,842.0,6.0
Hampton University,VA,Hampton,Hampton City,908.0,1793.0,2701.0,2.0
Hollins University,VA,Roanoke,Roanoke County,,,,
J Sargeant Reynolds Community College,VA,Richmond,Henrico County,,,,
James Madison University,VA,Harrisonburg,Harrisonburg City,7825.0,10871.0,18696.0,2.0
Brightpoint Community College,VA,Chester,Chesterfield County,,,,
Liberty University,VA,Lynchburg,Lynchburg City,12386.0,17389.0,29775.0,1.0
Longwood University,VA,Farmville,Prince Edward County,909.0,2091.0,3000.0,3.0
Laurel Ridge Community College,VA,Middletown,Frederick County,,,,
University of Lynchburg,VA,Lynchburg,Lynchburg City,603.0,975.0,1578.0,7.0
Centra College,VA,Lynchburg,Lynchburg City,,,,
Mary Baldwin University,VA,Staunton,Staunton City,265.0,943.0,1208.0,7.0
University of Mary Washington,VA,Fredericksburg,Fredericksburg City,1099.0,2001.0,3100.0,7.0
Marymount University,VA,Arlington,Arlington County,630.0,1125.0,1755.0,7.0
Sovah School of Health Professions,VA,Danville,Danville City,,,,
Mountain Empire Community College,VA,Big Stone Gap,Wise County,,,,
American National University,VA,Salem,Salem City,,,,
New River Community College,VA,Dublin,Pulaski County,,,,
Sentara College of Health Sciences,VA,Chesapeake,Chesapeake City,,,,
Tidewater Tech-Trades,VA,Norfolk,Norfolk City,,,,
Norfolk State University,VA,Norfolk,Norfolk City,1478.0,3042.0,4520.0,2.0
Northern Virginia Community College,VA,Annandale,Fairfax County,6735.0,6450.0,13185.0,13.0
Old Dominion University,VA,Norfolk,Norfolk City,6161.0,7729.0,13890.0,1.0
Patrick Henry Community College,VA,Martinsville,Henry County,365.0,430.0,795.0,13.0
Paul D Camp Community College,VA,Franklin,Franklin City,132.0,129.0,261.0,13.0
Southside College of Health Sciences,VA,Colonial Heights,Colonial Heights City,,,,
Piedmont Virginia Community College,VA,Charlottesville,Albemarle County,,,,
Radford University,VA,Radford,Radford City,2316.0,3695.0,6011.0,3.0
Sylvain Melloul International Hair Academy,VA,Lynchburg,Lynchburg City,,,,
Randolph-Macon College,VA,Ashland,Hanover County,656.0,796.0,1452.0,6.0
Randolph College,VA,Lynchburg,Lynchburg City,177.0,293.0,470.0,7.0
Rappahannock Community College,VA,Glenns,Gloucester County,,,,
Fortis College-Norfolk,VA,Norfolk,Norfolk City,,,,
Richard Bland College,VA,South Prince George,Dinwiddie County,439.0,727.0,1166.0,13.0
Bon Secours Memorial College of Nursing,VA,Richmond,Henrico County,,,,
University of Richmond,VA,University of Richmond,Richmond City,1397.0,1575.0,2972.0,2.0
Riverside College of Health Careers,VA,Newport News,Newport News City,,,,
Roanoke College,VA,Salem,Salem City,827.0,984.0,1811.0,7.0
Bon Secours St Mary's Hospital School of Medical Imaging,VA,Richmond,Henrico County,,,,
Shenandoah University,VA,Winchester,Winchester City,827.0,1207.0,2034.0,6.0
Southeastern Free Will Baptist Bible College,NC,Wendell,Wake County,,,,
Southern Virginia University,VA,Buena Vista,Buena Vista City,518.0,500.0,1018.0,6.0
Southside Virginia Community College,VA,Alberta,Brunswick County,,,,
Southwest Virginia Community College,VA,Cedar Bluff,Tazewell County,373.0,589.0,962.0,8.0
Staunton School of Cosmetology,VA,Staunton,Staunton City,,,,
Strayer University-Virginia,VA,Arlington,Arlington County,,,,
Sweet Briar College,VA,Sweet Briar,Amherst County,,,,
Virginia Peninsula Community College,VA,Hampton,Hampton City,690.0,872.0,1562.0,14.0
Tidewater Community College,VA,Norfolk,Norfolk City,,,,
Union Presbyterian Seminary,VA,Richmond,Richmond City,,,,
University of Virginia's College at Wise,VA,Wise,Wise County,502.0,560.0,1062.0,4.0
Virginia Highlands Community College,VA,Abingdon,Washington County,,,,
Virginia Polytechnic Institute and State University,VA,Blacksburg,Montgomery County,16470.0,12416.0,28886.0,1.0
Virginia Western Community College,VA,Roanoke,Roanoke City,,,,
Virginia Commonwealth University,VA,Richmond,Richmond City,6673.0,11798.0,18471.0,3.0
University of Virginia-Main Campus,VA,Charlottesville,Albemarle County,7173.0,9199.0,16372.0,1.0
Virginia Military Institute,VA,Lexington,Lexington City,1424.0,228.0,1652.0,2.0
Asher Institute of Hampton,VA,Hampton,Hampton City,,,,
Virginia University of Lynchburg,VA,Lynchburg,Lynchburg City,158.0,23.0,181.0,15.0
Virginia State University,VA,Petersburg,Chesterfield County,1463.0,2202.0,3665.0,4.0
Virginia Union University,VA,Richmond,Richmond City,548.0,538.0,1086.0,4.0
Virginia Wesleyan University,VA,Virginia Beach,Virginia Beach City,439.0,666.0,1105.0,7.0
Washington and Lee University,VA,Lexington,Lexington City,901.0,946.0,1847.0,6.0
Wytheville Community College,VA,Wytheville,Wythe County,,,,
Bellevue College,WA,Bellevue,King County,2510.0,2971.0,5481.0,19.0
Bellingham Technical College,WA,Bellingham,Whatcom County,,,,
Big Bend Community College,WA,Moses Lake,Grant County,529.0,733.0,1262.0,19.0
Central Washington University,WA,Ellensburg,Kittitas County,3925.0,4421.0,8346.0,4.0
Centralia College,WA,Centralia,Lewis County,449.0,673.0,1122.0,19.0
City University of Seattle,WA,Seattle,King County,,,,
Paul Mitchell the School-Richland,WA,Richland,Benton County,,,,
Clark College,WA,Vancouver,Clark County,1319.0,1940.0,3259.0,19.0
Clover Park Technical College,WA,Lakewood,Pierce County,,,,
Columbia Basin College,WA,Pasco,Franklin County,1267.0,1946.0,3213.0,19.0
Cornish College of the Arts,WA,Seattle,King County,,,,
Divers Institute of Technology,WA,Seattle,King County,,,,
Eastern Washington University,WA,Cheney,Spokane County,2892.0,3890.0,6782.0,2.0
Edmonds College,WA,Lynnwood,Snohomish County,921.0,1024.0,1945.0,19.0
Everett Community College,WA,Everett,Snohomish County,1483.0,2013.0,3496.0,19.0
Paroba College of Cosmetology,WA,Everett,Snohomish County,,,,
The Evergreen State College,WA,Olympia,Thurston County,640.0,981.0,1621.0,9.0
Pierce College District,WA,Lakewood,Pierce County,1376.0,2577.0,3953.0,19.0
Glen Dow Academy of Hair Design,WA,Spokane,Spokane County,,,,
Gonzaga University,WA,Spokane,Spokane County,2246.0,2653.0,4899.0,3.0
Grays Harbor College,WA,Aberdeen,Grays Harbor County,384.0,488.0,872.0,19.0
Green River College,WA,Auburn,King County,1905.0,1974.0,3879.0,19.0
Toni & Guy Hairdressing Academy-Shoreline,WA,Shoreline,King County,,,,
Heritage University,WA,Toppenish,Yakima County,,,,
Highline College,WA,Des Moines,King County,871.0,1440.0,2311.0,19.0
International Air and Hospitality Academy,WA,Vancouver,Clark County,,,,
Bastyr University,WA,Kenmore,King County,,,,
Highlights Beauty Schools,WA,Mountlake Terrace,Snohomish County,,,,
Bates Technical College,WA,Tacoma,Pierce County,,,,
Lake Washington Institute of Technology,WA,Kirkland,King County,,,,
Lower Columbia College,WA,Longview,Cowlitz County,377.0,820.0,1197.0,19.0
BJ's Beauty & Barber College,WA,Tacoma,Pierce County,,,,
North Seattle College,WA,Seattle,King County,,,,
Northwest University,WA,Kirkland,King County,256.0,479.0,735.0,10.0
Olympic College,WA,Bremerton,Kitsap County,1034.0,1515.0,2549.0,19.0
Perry Technical Institute,WA,Yakima,Yakima County,,,,
Pacific Lutheran University,WA,Tacoma,Pierce County,811.0,1460.0,2271.0,6.0
Peninsula College,WA,Port Angeles,Clallam County,250.0,453.0,703.0,19.0
University of Puget Sound,WA,Tacoma,Pierce County,782.0,1053.0,1835.0,6.0
Renton Technical College,WA,Renton,King County,,,,
Saint Martin's University,WA,Lacey,Thurston County,476.0,769.0,1245.0,5.0
South Seattle College,WA,Seattle,King County,,,,
Seattle Central College,WA,Seattle,King County,,,,
Seattle Pacific University,WA,Seattle,King County,794.0,1719.0,2513.0,5.0
Seattle University,WA,Seattle,King County,1576.0,2522.0,4098.0,3.0
Shoreline Community College,WA,Shoreline,King County,599.0,772.0,1371.0,19.0
Skagit Valley College,WA,Mount Vernon,Skagit County,821.0,1114.0,1935.0,19.0
South Puget Sound Community College,WA,Olympia,Thurston County,872.0,1203.0,2075.0,19.0
Spokane Community College,WA,Spokane,Spokane County,,,,
Spokane Falls Community College,WA,Spokane,Spokane County,1079.0,1526.0,2605.0,19.0
Stylemaster College of Hair Design,WA,Longview,Cowlitz County,,,,
Tacoma Community College,WA,Tacoma,Pierce County,1105.0,1893.0,2998.0,19.0
Walla Walla Community College,WA,Walla Walla,Walla Walla County,553.0,694.0,1247.0,19.0
Walla Walla University,WA,College Place,Walla Walla County,627.0,609.0,1236.0,10.0
Washington State University,WA,Pullman,Whitman County,9813.0,11396.0,21209.0,1.0
University of Washington-Seattle Campus,WA,Seattle,King County,12800.0,16715.0,29515.0,1.0
Wenatchee Valley College,WA,Wenatchee,Chelan County,695.0,1103.0,1798.0,19.0
Western Washington University,WA,Bellingham,Whatcom County,5162.0,7251.0,12413.0,5.0
Whatcom Community College,WA,Bellingham,Whatcom County,823.0,1053.0,1876.0,19.0
Whitman College,WA,Walla Walla,Walla Walla County,665.0,859.0,1524.0,7.0
Whitworth University,WA,Spokane,Spokane County,920.0,1330.0,2250.0,6.0
Yakima Valley College,WA,Yakima,Yakima County,529.0,1388.0,1917.0,8.0
Alderson Broaddus University,WV,Philippi,Barbour County,422.0,246.0,668.0,4.0
Appalachian Beauty School,KY,Belfry,Pike County,,,,
Appalachian Bible College,WV,Mount Hope,Raleigh County,60.0,76.0,136.0,16.0
B M Spurr School of Practical Nursing,WV,Glen Dale,Marshall County,,,,
Ben Franklin Career Center,WV,Dunbar,Kanawha County,,,,
Bethany College,WV,Bethany,Brooke County,284.0,247.0,531.0,6.0
Bluefield State College,WV,Bluefield,Mercer County,423.0,571.0,994.0,4.0
Cabell County Career Technology Center,WV,Huntington,Cabell County,,,,
Charleston School of Beauty Culture,WV,Charleston,Kanawha County,,,,
University of Charleston,WV,Charleston,Kanawha County,511.0,612.0,1123.0,4.0
Clarksburg Beauty Academy and School of Massage Therapy,WV,Clarksburg,Harrison County,,,,
Concord University,WV,Athens,Mercer County,537.0,743.0,1280.0,4.0
Davis & Elkins College,WV,Elkins,Randolph County,269.0,384.0,653.0,5.0
Fairmont State University,WV,Fairmont,Marion County,1053.0,1422.0,2475.0,4.0
Glenville State University,WV,Glenville,Gilmer County,529.0,441.0,970.0,4.0
Huntington Junior College,WV,Huntington,Cabell County,,,,
James Rumsey Technical Institute,WV,Martinsburg,Berkeley County,,,,
Ralph R Willis Career and Technical Center,WV,Stollings,Logan County,,,,
Marshall University,WV,Huntington,Cabell County,2716.0,3806.0,6522.0,1.0
Mercer County Technical Education Center,WV,Princeton,Mercer County,,,,
Meredith Manor International Equestrian Center,WV,Waverly,Wood County,,,,
Monongalia County Technical Education Center,WV,Morgantown,Monongalia County,,,,
Morgantown Beauty College Inc,WV,Morgantown,Monongalia County,,,,
Mountain State College,WV,Parkersburg,Wood County,,,,
Ohio Valley University,WV,Vienna,Wood County,,,,
West Virginia University at Parkersburg,WV,Parkersburg,Wood County,,,,
Potomac State College of West Virginia University,WV,Keyser,Mineral County,421.0,461.0,882.0,13.0
Academy of Careers and Technology,WV,Beckley,Raleigh County,,,,
Salem University,WV,Salem,Harrison County,321.0,377.0,698.0,5.0
Shepherd University,WV,Shepherdstown,Jefferson County,805.0,1235.0,2040.0,4.0
Southern West Virginia Community and Technical College,WV,Mount Gay,Logan County,,,,
Fred W Eberle Technical Center,WV,Buckhannon,Upshur County,,,,
West Virginia School of Osteopathic Medicine,WV,Lewisburg,Greenbrier County,,,,
West Virginia State University,WV,Institute,Kanawha County,564.0,652.0,1216.0,4.0
West Virginia University Hospital Departments of Rad Tech and Nutrition,WV,Morgantown,Monongalia County,,,,
West Liberty University,WV,West Liberty,Ohio County,567.0,1007.0,1574.0,4.0
West Virginia University Institute of Technology,WV,Beckley,Raleigh County,599.0,439.0,1038.0,9.0
West Virginia Wesleyan College,WV,Buckhannon,Upshur County,451.0,517.0,968.0,4.0
West Virginia Junior College-Charleston,WV,Cross Lanes,Kanawha County,,,,
West Virginia Junior College-Morgantown,WV,Morgantown,Monongalia County,,,,
International Beauty School 4,WV,Martinsburg,Berkeley County,,,,
West Virginia Northern Community College,WV,Wheeling,Ohio County,,,,
West Virginia University,WV,Morgantown,Monongalia County,8725.0,9293.0,18018.0,1.0
Wheeling University,WV,Wheeling,Ohio County,330.0,176.0,506.0,4.0
Wood County School of Practical Nursing,WV,Parkersburg,Wood County,,,,
VICI Beauty School,WI,Greenfield,Milwaukee County,,,,
Alverno College,WI,Milwaukee,Milwaukee County,10.0,682.0,692.0,7.0
Madison Area Technical College,WI,Madison,Dane County,1360.0,1391.0,2751.0,14.0
Bellin College,WI,Green Bay,Brown County,,,,
Beloit College,WI,Beloit,Rock County,458.0,497.0,955.0,6.0
Blackhawk Technical College,WI,Janesville,Rock County,,,,
Cardinal Stritch University,WI,Milwaukee,Milwaukee County,172.0,292.0,464.0,10.0
Carroll University,WI,Waukesha,Waukesha County,796.0,1873.0,2669.0,6.0
Carthage College,WI,Kenosha,Kenosha County,1120.0,1443.0,2563.0,6.0
Columbia College of Nursing,WI,Glendale,Milwaukee County,,,,
Concordia University-Wisconsin,WI,Mequon,Ozaukee County,890.0,1297.0,2187.0,6.0
Edgewood College,WI,Madison,Dane County,309.0,734.0,1043.0,7.0
Fox Valley Technical College,WI,Appleton,Outagamie County,,,,
Gateway Technical College,WI,Kenosha,Kenosha County,,,,
The Professional Hair Design Academy,WI,Eau Claire,Eau Claire County,,,,
Lakeland University,WI,Plymouth,Sheboygan County,357.0,391.0,748.0,6.0
Lakeshore Technical College,WI,Cleveland,Manitowoc County,,,,
Lawrence University,WI,Appleton,Outagamie County,665.0,787.0,1452.0,6.0
Maranatha Baptist University,WI,Watertown,Jefferson County,191.0,278.0,469.0,7.0
Marian University,WI,Fond Du Lac,Fond du Lac County,349.0,644.0,993.0,7.0
Marquette University,WI,Milwaukee,Milwaukee County,3198.0,4162.0,7360.0,3.0
Medical College of Wisconsin,WI,Milwaukee,Milwaukee County,,,,
Mid-State Technical College,WI,Wisconsin Rapids,Wood County,,,,
Milwaukee Area Technical College,WI,Milwaukee,Milwaukee County,1507.0,1561.0,3068.0,13.0
Milwaukee Institute of Art & Design,WI,Milwaukee,Milwaukee County,,,,
Milwaukee School of Engineering,WI,Milwaukee,Milwaukee County,1818.0,678.0,2496.0,7.0
Moraine Park Technical College,WI,Fond du Lac,Fond du Lac County,,,,
Mount Mary University,WI,Milwaukee,Milwaukee County,,,,
Nashotah House,WI,Nashotah,Waukesha County,,,,
Nicolet Area Technical College,WI,Rhinelander,Oneida County,,,,
Northcentral Technical College,WI,Wausau,Marathon County,456.0,596.0,1052.0,8.0
Northeast Wisconsin Technical College,WI,Green Bay,Brown County,,,,
Northland College,WI,Ashland,Ashland County,241.0,274.0,515.0,7.0
Ripon College,WI,Ripon,Fond du Lac County,399.0,391.0,790.0,6.0
Sacred Heart Seminary and School of Theology,WI,Franklin,Milwaukee County,,,,
Saint Norbert College,WI,De Pere,Brown County,788.0,1111.0,1899.0,6.0
State College of Beauty Culture Inc,WI,Wausau,Marathon County,,,,
Southwest Wisconsin Technical College,WI,Fennimore,Grant County,297.0,382.0,679.0,14.0
Viterbo University,WI,La Crosse,La Crosse County,315.0,1021.0,1336.0,10.0
Chippewa Valley Technical College,WI,Eau Claire,Eau Claire County,,,,
Waukesha County Technical College,WI,Pewaukee,Waukesha County,,,,
Western Technical College,WI,La Crosse,La Crosse County,810.0,738.0,1548.0,14.0
University of Wisconsin-Whitewater,WI,Whitewater,Walworth County,4351.0,4020.0,8371.0,6.0
Northwood Technical College,WI,Shell Lake,Washburn County,,,,
Wisconsin School of Professional Psychology,WI,Milwaukee,Milwaukee County,,,,
University of Wisconsin-Eau Claire,WI,Eau Claire,Eau Claire County,3482.0,5471.0,8953.0,6.0
University of Wisconsin-Green Bay,WI,Green Bay,Brown County,1832.0,3022.0,4854.0,3.0
University of Wisconsin-La Crosse,WI,La Crosse,La Crosse County,3677.0,5113.0,8790.0,6.0
Wisconsin Lutheran College,WI,Milwaukee,Milwaukee County,398.0,540.0,938.0,6.0
University of Wisconsin-Oshkosh,WI,Oshkosh,Winnebago County,2925.0,4198.0,7123.0,6.0
University of Wisconsin-Parkside,WI,Kenosha,Kenosha County,1111.0,1451.0,2562.0,5.0
Herzing University-Madison,WI,Madison,Dane County,,,,
University of Wisconsin-Stout,WI,Menomonie,Dunn County,3116.0,2217.0,5333.0,16.0
University of Wisconsin-Superior,WI,Superior,Douglas County,608.0,1018.0,1626.0,7.0
University of Wisconsin-System Administration,WI,Madison,Dane County,,,,
