inst_name,state_abbr,city,county_name,enrollment_men,enrollment_women,enrollment_total,ath_classification_code
Yavapai College,AZ,Prescott,Yavapai County,601.0,665.0,1266.0,12.0
University of Arkansas at Little Rock,AR,Little Rock,Pulaski County,1175.0,1770.0,2945.0,3.0
University of Arkansas for Medical Sciences,AR,Little Rock,Pulaski County,,,,
Arkansas Baptist College,AR,Little Rock,Pulaski County,267.0,77.0,344.0,9.0
Arkansas Beauty School-Little Rock,AR,Little Rock,Pulaski County,,,,
Arkansas Beauty College,AR,Russellville,Pope County,,,,
Lyon College,AR,Batesville,Independence County,337.0,235.0,572.0,9.0
Arkansas Technical School,AR,North Little Rock,Pulaski County,,,,
Arthur's Beauty College,AR,Fort Smith,Sebastian County,,,,
University of Arkansas,AR,Fayetteville,Washington County,9427.0,12027.0,21454.0,1.0
University of Arkansas at Pine Bluff,AR,Pine Bluff,Jefferson County,855.0,1233.0,2088.0,2.0
Arkansas State University-Beebe,AR,Beebe,White County,,,,
Arkansas State University,AR,Jonesboro,Craighead County,2173.0,3182.0,5355.0,1.0
Arkansas Tech University,AR,Russellville,Pope County,2454.0,2905.0,5359.0,4.0
University of Arkansas at Monticello,AR,Monticello,Drew County,726.0,896.0,1622.0,4.0
Arthur's Beauty College,AR,Jacksonville,Pulaski County,,,,
Baptist Health College Little Rock,AR,Little Rock,Pulaski County,,,,
Black River Technical College,AR,Pocahontas,Randolph County,,,,
University of Central Arkansas,AR,Conway,Faulkner County,2591.0,4196.0,6787.0,2.0
Central Baptist College,AR,Conway,Faulkner County,280.0,217.0,497.0,9.0
Cossatot Community College of the University of Arkansas,AR,De Queen,Sevier County,170.0,282.0,452.0,13.0
Crowley's Ridge College,AR,Paragould,Greene County,95.0,75.0,170.0,9.0
East Arkansas Community College,AR,Forrest City,St. Francis County,,,,
Eastern College of Health Vocations-Little Rock,AR,Little Rock,Pulaski County,,,,
Paul Mitchell the School-Little Rock,AR,North Little Rock,Pulaski County,,,,
National Park College,AR,Hot Springs,Garland County,502.0,708.0,1210.0,13.0
University of Arkansas Community College-Batesville,AR,Batesville,Independence County,,,,
Harding University,AR,Searcy,White County,1334.0,1737.0,3071.0,4.0
Henderson State University,AR,Arkadelphia,Clark County,952.0,1040.0,1992.0,4.0
Hendrix College,AR,Conway,Faulkner County,536.0,562.0,1098.0,6.0
Hot Springs Beauty College,AR,Hot Springs,Garland County,,,,
Jefferson Regional Medical Center School of Nursing,AR,Pine Bluff,Jefferson County,,,,
John Brown University,AR,Siloam Springs,Benton County,524.0,760.0,1284.0,9.0
Career Academy of Hair Design,AR,Springdale,Washington County,,,,
Academy of Salon and Spa,AR,Fort Smith,Sebastian County,,,,
Arkansas State University Mid-South,AR,West Memphis,Crittenden County,53.0,173.0,226.0,13.0
Arkansas Northeastern College,AR,Blytheville,Mississippi County,,,,
New Tyler Barber College Inc,AR,North Little Rock,Pulaski County,,,,
North Arkansas College,AR,Harrison,Boone County,312.0,414.0,726.0,13.0
Northwest Technical Institute,AR,Springdale,Washington County,,,,
Ouachita Baptist University,AR,Arkadelphia,Clark County,660.0,891.0,1551.0,4.0
Arkansas State University Three Rivers,AR,Malvern,Hot Spring County,,,,
Ozarka College,AR,Melbourne,Izard County,,,,
University of the Ozarks,AR,Clarksville,Johnson County,365.0,408.0,773.0,7.0
University of Arkansas Community College-Morrilton,AR,Morrilton,Conway County,,,,
Philander Smith College,AR,Little Rock,Pulaski County,221.0,392.0,613.0,9.0
Phillips Community College of the University of Arkansas,AR,Helena,Phillips County,,,,
Southeast Arkansas College,AR,Pine Bluff,Jefferson County,,,,
Professional Cosmetology Education Center,AR,El Dorado,Union County,,,,
University of Arkansas-Pulaski Technical College,AR,North Little Rock,Pulaski County,,,,
University of Arkansas Hope-Texarkana,AR,Hope,Hempstead County,,,,
University of Arkansas Community College Rich Mountain,AR,Mena,Polk County,159.0,227.0,386.0,13.0
Paul Mitchell the School-Arkansas,AR,Fayetteville,Washington County,,,,
Searcy Beauty College,AR,Searcy,White County,,,,
Shorter College,AR,N Little Rock,Pulaski County,,,,
Williams Baptist University,AR,Walnut Ridge,Lawrence County,285.0,303.0,588.0,9.0
South Arkansas Community College,AR,El Dorado,Union County,149.0,299.0,448.0,13.0
Southern Arkansas University Main Campus,AR,Magnolia,Columbia County,1171.0,1456.0,2627.0,4.0
Southern Arkansas University Tech,AR,Camden,Calhoun County,217.0,263.0,480.0,13.0
University of Arkansas System Office,AR,Little Rock,Pulaski County,,,,
Velvatex College of Beauty Culture,AR,Little Rock,Pulaski County,,,,
University of Arkansas-Fort Smith,AR,Fort Smith,Sebastian County,1254.0,1995.0,3249.0,5.0
Academy of Art University,CA,San Francisco,San Francisco County,1220.0,1414.0,2634.0,5.0
Academy of Chinese Culture and Health Sciences,CA,Oakland,Alameda County,,,,
College of Alameda,CA,Alameda,Alameda County,276.0,236.0,512.0,17.0
Allan Hancock College,CA,Santa Maria,Santa Barbara County,1279.0,1535.0,2814.0,17.0
American Academy of Dramatic Arts-Los Angeles,CA,Los Angeles,Los Angeles County,,,,
Berkeley School of Theology,CA,Berkeley,Alameda County,,,,
American Film Institute Conservatory,CA,Los Angeles,Los Angeles County,,,,
American Beauty College,CA,West Covina,Los Angeles County,,,,
American Career College-Los Angeles,CA,Los Angeles,Los Angeles County,,,,
American Conservatory Theater,CA,San Francisco,San Francisco County,,,,
American River College,CA,Sacramento,Sacramento County,1982.0,2426.0,4408.0,17.0
Antelope Valley Community College District,CA,Lancaster,Los Angeles County,1423.0,1737.0,3160.0,17.0
Art Center College of Design,CA,Pasadena,Los Angeles County,,,,
Associated Technical College-Los Angeles,CA,Los Angeles,Los Angeles County,,,,
Associated Technical College-San Diego,CA,San Diego,San Diego County,,,,
Azusa Pacific University,CA,Azusa,Los Angeles County,1070.0,2302.0,3372.0,5.0
Bakersfield College,CA,Bakersfield,Kern County,2542.0,3453.0,5995.0,17.0
Barstow Community College,CA,Barstow,San Bernardino County,276.0,620.0,896.0,17.0
Bellus Academy-Chula Vista,CA,Chula Vista,San Diego County,,,,
Bethesda University,CA,Anaheim,Orange County,176.0,42.0,218.0,15.0
Biola University,CA,La Mirada,Los Angeles County,1254.0,2035.0,3289.0,5.0
Brownson Technical School,CA,Anaheim,Orange County,,,,
Bryan University,AZ,Tempe,Maricopa County,,,,
Butte College,CA,Oroville,Butte County,1846.0,2184.0,4030.0,17.0
California Institute of Integral Studies,CA,San Francisco,San Francisco County,,,,
Cabrillo College,CA,Aptos,Santa Cruz County,1251.0,1591.0,2842.0,17.0
California Baptist University,CA,Riverside,Riverside County,2704.0,4606.0,7310.0,3.0
California College of the Arts,CA,San Francisco,San Francisco County,,,,
University of California-Hastings College of Law,CA,San Francisco,San Francisco County,,,,
California Institute of Technology,CA,Pasadena,Los Angeles County,546.0,441.0,987.0,7.0
California Lutheran University,CA,Thousand Oaks,Ventura County,1172.0,1344.0,2516.0,6.0
California Polytechnic State University-San Luis Obispo,CA,San Luis Obispo,San Luis Obispo County,10106.0,9817.0,19923.0,2.0
Alliant International University-San Diego,CA,San Diego,San Diego County,,,,
California State University-Bakersfield,CA,Bakersfield,Kern County,2505.0,4882.0,7387.0,3.0
California State University-Stanislaus,CA,Turlock,Stanislaus County,2376.0,4966.0,7342.0,5.0
California State University-Chancellors Office,CA,Long Beach,Los Angeles County,,,,
California State University-San Bernardino,CA,San Bernardino,San Bernardino County,4997.0,8620.0,13617.0,5.0
California State Polytechnic University-Pomona,CA,Pomona,Los Angeles County,12174.0,10966.0,23140.0,5.0
California State University-Chico,CA,Chico,Butte County,5856.0,7024.0,12880.0,5.0
California State University-Dominguez Hills,CA,Carson,Los Angeles County,4264.0,7364.0,11628.0,5.0
California State University-Fresno,CA,Fresno,Fresno County,7226.0,11289.0,18515.0,1.0
California State University-Fullerton,CA,Fullerton,Orange County,11304.0,16544.0,27848.0,3.0
California State University-East Bay,CA,Hayward,Alameda County,3717.0,5717.0,9434.0,5.0
California State University-Long Beach,CA,Long Beach,Los Angeles County,11689.0,16586.0,28275.0,3.0
California State University-Los Angeles,CA,Los Angeles,Los Angeles County,7773.0,11761.0,19534.0,5.0
California State University-Northridge,CA,Northridge,Los Angeles County,12320.0,15892.0,28212.0,3.0
California State University-Sacramento,CA,Sacramento,Sacramento County,9688.0,13760.0,23448.0,2.0
University of California-Berkeley,CA,Berkeley,Alameda County,13696.0,16501.0,30197.0,1.0
University of California-Davis,CA,Davis,Yolo County,12183.0,18579.0,30762.0,2.0
University of California-Irvine,CA,Irvine,Orange County,12960.0,15782.0,28742.0,3.0
University of California-Los Angeles,CA,Los Angeles,Los Angeles County,12595.0,18890.0,31485.0,1.0
University of California-Riverside,CA,Riverside,Riverside County,10315.0,11754.0,22069.0,3.0
University of California-San Diego,CA,La Jolla,San Diego County,15680.0,16647.0,32327.0,5.0
University of California-San Francisco,CA,San Francisco,San Francisco County,,,,
University of California-Santa Barbara,CA,Santa Barbara,Santa Barbara County,9789.0,12669.0,22458.0,3.0
University of California-Santa Cruz,CA,Santa Cruz,Santa Cruz County,8877.0,8210.0,17087.0,7.0
Sofia University,CA,Palo Alto,Santa Clara County,,,,
California Beauty School,CA,Modesto,Stanislaus County,,,,
California Christian College,CA,Fresno,Fresno County,,,,
Haven University,CA,Garden Grove,Orange County,,,,
California Hair Design Academy,CA,La Mesa,San Diego County,,,,
California Institute of the Arts,CA,Valencia,Los Angeles County,,,,
California State University Maritime Academy,CA,Vallejo,Solano County,687.0,165.0,852.0,9.0
California Western School of Law,CA,San Diego,San Diego County,,,,
Canada College,CA,Redwood City,San Mateo County,214.0,274.0,488.0,17.0
College of the Canyons,CA,Santa Clarita,Los Angeles County,2403.0,2724.0,5127.0,17.0
Career Academy of Beauty,CA,Garden Grove,Orange County,,,,
Casa Loma College-Van Nuys,CA,Van Nuys,Los Angeles County,,,,
CET-San Diego,CA,San Diego,San Diego County,,,,
CET-San Jose,CA,San Jose,Santa Clara County,,,,
CET-El Centro,CA,El Centro,Imperial County,,,,
CET-Colton,CA,Colton,San Bernardino County,,,,
CET-Watsonville,CA,Watsonville,Santa Cruz County,,,,
CET-Salinas,CA,Salinas,Monterey County,,,,
Cerritos College,CA,Norwalk,Los Angeles County,2975.0,3710.0,6685.0,17.0
Cerro Coso Community College,CA,Ridgecrest,Kern County,419.0,378.0,797.0,17.0
Chabot College,CA,Hayward,Alameda County,1249.0,1498.0,2747.0,17.0
Chaffey College,CA,Rancho Cucamonga,San Bernardino County,1904.0,2763.0,4667.0,17.0
Chapman University,CA,Orange,Orange County,2807.0,4341.0,7148.0,6.0
Charles R Drew University of Medicine and Science,CA,Los Angeles,Los Angeles County,,,,
Concordia University-Irvine,CA,Irvine,Orange County,595.0,887.0,1482.0,5.0
